[Fri Jul 22 08:43:23.560115 2022] [core:error] [pid 12768:tid 1876] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:64905] AH00127: Cannot map GET /stylesheet%22%20href=%22dist/css/adminlte.min.css HTTP/1.1 to file, referer: http://dashboard.vacationtoday.prod/
[Fri Jul 22 08:43:40.085317 2022] [core:error] [pid 12768:tid 1868] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:64921] AH00127: Cannot map GET /stylesheet%22%20href=%22dist/css/adminlte.min.css HTTP/1.1 to file, referer: http://dashboard.vacationtoday.prod/
[Fri Jul 22 08:43:48.764923 2022] [core:error] [pid 12768:tid 1868] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:64940] AH00127: Cannot map GET /stylesheet%22%20href=%22dist/css/adminlte.min.css HTTP/1.1 to file, referer: http://dashboard.vacationtoday.prod/
[Fri Jul 22 13:54:39.736291 2022] [php7:error] [pid 13496:tid 1824] [client 127.0.0.1:60265] PHP Fatal error:  Cannot use yii\\web\\Controller as Controller because the name is already in use in D:\\allarstudio\\vacationtoday\\backend\\controllers\\BlogsController.php on line 10, referer: http://dashboard.vacationtoday.prod/debug/default/view?panel=log&tag=62da49a419636&Log%5Blevel%5D=1
[Wed Aug 17 07:49:05.068664 2022] [php7:error] [pid 6476:tid 1876] [client 127.0.0.1:50404] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in D:\\allarstudio\\vacationtoday\\frontend\\assets\\AppAsset.php on line 3
[Wed Aug 17 07:50:59.003463 2022] [php7:error] [pid 6476:tid 1868] [client 127.0.0.1:50441] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in D:\\allarstudio\\vacationtoday\\frontend\\assets\\AppAsset.php on line 3
[Wed Aug 17 07:51:21.897905 2022] [php7:error] [pid 6476:tid 1876] [client 127.0.0.1:50468] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in D:\\allarstudio\\vacationtoday\\frontend\\assets\\AppAsset.php on line 2
[Wed Aug 17 07:51:38.569453 2022] [php7:error] [pid 6476:tid 1868] [client 127.0.0.1:50469] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in D:\\allarstudio\\vacationtoday\\frontend\\assets\\AppAsset.php on line 2
[Wed Aug 17 07:53:36.297719 2022] [php7:error] [pid 6476:tid 1876] [client 127.0.0.1:50524] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in D:\\allarstudio\\vacationtoday\\frontend\\assets\\AppAsset.php on line 2
[Wed Aug 17 07:54:21.395764 2022] [php7:error] [pid 6476:tid 1876] [client 127.0.0.1:50545] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in D:\\allarstudio\\vacationtoday\\frontend\\assets\\AppAsset.php on line 2
[Wed Aug 17 07:55:24.796657 2022] [php7:error] [pid 6476:tid 1868] [client 127.0.0.1:50565] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in D:\\allarstudio\\vacationtoday\\frontend\\assets\\AppAsset.php on line 3
[Sat Oct 08 19:33:57.965192 2022] [php:error] [pid 18960:tid 1928] [client 127.0.0.1:62655] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in E:\\allarstudio\\vacationtoday\\frontend\\controllers\\BlogController.php on line 105
[Sat Oct 08 19:34:52.792592 2022] [php:error] [pid 18960:tid 1892] [client 127.0.0.1:62666] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in E:\\allarstudio\\vacationtoday\\frontend\\controllers\\BlogController.php on line 105
[Tue Oct 11 17:23:30.772477 2022] [php:error] [pid 13052:tid 1840] [client 127.0.0.1:56020] PHP Fatal error:  Cannot use yii\\helpers\\Html as Html because the name is already in use in E:\\allarstudio\\vacationtoday\\frontend\\views\\layouts\\main.php on line 10, referer: http://vacationtoday.prod/
